ger,no,val,fit
0,0,4.69,0
1,0,4.69,-1.26584
2,0,6.45,0.341286
3,0,6.45,0.341286
4,0,6.45,0.341286
5,0,6.45,0.341286
6,0,6.45,0.341286
7,0,7.62,1.77968
8,0,7.62,1.77968
9,0,7.62,1.77968
10,0,7.62,1.77968
11,0,7.62,1.77968
12,0,7.62,1.77968
13,0,7.62,1.77968
14,0,7.62,1.77968
15,0,7.62,1.77968
16,0,7.62,1.77968
17,0,7.58,1.80859
18,0,7.58,1.80859
19,0,7.58,1.80859
20,0,7.58,1.80859
21,0,7.58,1.80859
22,0,7.58,1.80859
23,0,7.58,1.80859
24,0,7.58,1.80859
25,0,7.58,1.80859
26,0,7.58,1.80859
27,0,7.58,1.80859
28,0,7.58,1.80859
29,0,7.58,1.80859
30,0,7.58,1.80859
31,0,7.58,1.80859
32,0,7.58,1.80859
33,0,7.58,1.80859
34,0,7.58,1.80859
35,0,7.58,1.80859
36,0,7.58,1.80859
37,0,7.58,1.80859
38,0,7.58,1.80859
39,0,7.58,1.80859
40,0,7.58,1.80859
41,0,7.58,1.80859
42,0,7.58,1.80859
43,0,7.58,1.80859
44,0,7.58,1.80859
45,0,7.58,1.80859
46,0,7.4,1.86742
47,0,7.4,1.86742
48,0,7.4,1.86742
49,0,7.4,1.86742
0,1,6.45,0
1,1,6.45,0.341286
2,1,6.45,0.341286
3,1,6.45,0.341286
4,1,6.45,0.341286
5,1,7.62,1.77968
6,1,7.62,1.77968
7,1,7.62,1.77968
8,1,7.62,1.77968
9,1,7.62,1.77968
10,1,7.62,1.77968
11,1,7.62,1.77968
12,1,7.62,1.77968
13,1,7.62,1.77968
14,1,7.62,1.77968
15,1,7.62,1.77968
16,1,7.62,1.77968
17,1,7.62,1.77968
18,1,7.62,1.77968
19,1,7.62,1.77968
20,1,7.62,1.77968
21,1,7.62,1.77968
22,1,7.62,1.77968
23,1,7.62,1.77968
24,1,7.62,1.77968
25,1,7.62,1.77968
26,1,7.62,1.77968
27,1,7.62,1.77968
28,1,7.41,1.86732
29,1,7.41,1.86732
30,1,7.41,1.86732
31,1,7.41,1.86732
32,1,7.41,1.86732
33,1,7.41,1.86732
34,1,7.41,1.86732
35,1,7.4,1.86742
36,1,7.4,1.86742
37,1,7.4,1.86742
38,1,7.4,1.86742
39,1,7.4,1.86742
40,1,7.4,1.86742
41,1,7.4,1.86742
42,1,7.4,1.86742
43,1,7.4,1.86742
44,1,7.4,1.86742
45,1,7.4,1.86742
46,1,7.4,1.86742
47,1,7.4,1.86742
48,1,7.4,1.86742
49,1,7.4,1.86742
0,2,5.03,0
1,2,5.03,-1.70667
2,2,6.45,0.341286
3,2,6.45,0.341286
4,2,6.45,0.341286
5,2,6.45,0.341286
6,2,7.62,1.77968
7,2,7.62,1.77968
8,2,7.62,1.77968
9,2,7.62,1.77968
10,2,7.62,1.77968
11,2,7.62,1.77968
12,2,7.62,1.77968
13,2,7.62,1.77968
14,2,7.62,1.77968
15,2,7.62,1.77968
16,2,7.62,1.77968
17,2,7.62,1.77968
18,2,7.62,1.77968
19,2,7.62,1.77968
20,2,7.62,1.77968
21,2,7.62,1.77968
22,2,7.62,1.77968
23,2,7.62,1.77968
24,2,7.62,1.77968
25,2,7.62,1.77968
26,2,7.62,1.77968
27,2,7.62,1.77968
28,2,7.62,1.77968
29,2,7.62,1.77968
30,2,7.62,1.77968
31,2,7.62,1.77968
32,2,7.62,1.77968
33,2,7.62,1.77968
34,2,7.62,1.77968
35,2,7.62,1.77968
36,2,7.62,1.77968
37,2,7.62,1.77968
38,2,7.62,1.77968
39,2,7.62,1.77968
40,2,7.62,1.77968
41,2,7.41,1.86732
42,2,7.41,1.86732
43,2,7.41,1.86732
44,2,7.41,1.86732
45,2,7.41,1.86732
46,2,7.41,1.86732
47,2,7.41,1.86732
48,2,7.41,1.86732
49,2,7.41,1.86732
0,3,6.08,0
1,3,6.45,0.341286
2,3,6.45,0.341286
3,3,7.62,1.77968
4,3,7.62,1.77968
5,3,7.62,1.77968
6,3,7.62,1.77968
7,3,7.62,1.77968
8,3,7.62,1.77968
9,3,7.62,1.77968
10,3,7.62,1.77968
11,3,7.62,1.77968
12,3,7.62,1.77968
13,3,7.62,1.77968
14,3,7.62,1.77968
15,3,7.62,1.77968
16,3,7.62,1.77968
17,3,7.62,1.77968
18,3,7.62,1.77968
19,3,7.62,1.77968
20,3,7.41,1.86732
21,3,7.41,1.86732
22,3,7.41,1.86732
23,3,7.41,1.86732
24,3,7.41,1.86732
25,3,7.41,1.86732
26,3,7.41,1.86732
27,3,7.41,1.86732
28,3,7.41,1.86732
29,3,7.41,1.86732
30,3,7.41,1.86732
31,3,7.41,1.86732
32,3,7.41,1.86732
33,3,7.41,1.86732
34,3,7.41,1.86732
35,3,7.41,1.86732
36,3,7.41,1.86732
37,3,7.41,1.86732
38,3,7.41,1.86732
39,3,7.41,1.86732
40,3,7.41,1.86732
41,3,7.41,1.86732
42,3,7.41,1.86732
43,3,7.41,1.86732
44,3,7.41,1.86732
45,3,7.41,1.86732
46,3,7.41,1.86732
47,3,7.41,1.86732
48,3,7.41,1.86732
49,3,7.41,1.86732
0,4,6.85,0
1,4,6.85,1.30061
2,4,6.85,1.30061
3,4,6.85,1.30061
4,4,7.62,1.77968
5,4,7.62,1.77968
6,4,7.41,1.86732
7,4,7.41,1.86732
8,4,7.41,1.86732
9,4,7.41,1.86732
10,4,7.41,1.86732
11,4,7.41,1.86732
12,4,7.41,1.86732
13,4,7.41,1.86732
14,4,7.41,1.86732
15,4,7.41,1.86732
16,4,7.41,1.86732
17,4,7.41,1.86732
18,4,7.41,1.86732
19,4,7.41,1.86732
20,4,7.41,1.86732
21,4,7.41,1.86732
22,4,7.41,1.86732
23,4,7.41,1.86732
24,4,7.41,1.86732
25,4,7.41,1.86732
26,4,7.41,1.86732
27,4,7.41,1.86732
28,4,7.41,1.86732
29,4,7.41,1.86732
30,4,7.41,1.86732
31,4,7.41,1.86732
32,4,7.41,1.86732
33,4,7.41,1.86732
34,4,7.41,1.86732
35,4,7.41,1.86732
36,4,7.41,1.86732
37,4,7.41,1.86732
38,4,7.41,1.86732
39,4,7.41,1.86732
40,4,7.41,1.86732
41,4,7.41,1.86732
42,4,7.41,1.86732
43,4,7.41,1.86732
44,4,7.41,1.86732
45,4,7.41,1.86732
46,4,7.41,1.86732
47,4,7.41,1.86732
48,4,7.41,1.86732
49,4,7.41,1.86732
0,5,4.01,0
1,5,4.01,0.0252554
2,5,6.85,1.30061
3,5,6.85,1.30061
4,5,6.85,1.30061
5,5,6.85,1.30061
6,5,7.62,1.77968
7,5,7.62,1.77968
8,5,7.62,1.77968
9,5,7.62,1.77968
10,5,7.62,1.77968
11,5,7.62,1.77968
12,5,7.62,1.77968
13,5,7.62,1.77968
14,5,7.62,1.77968
15,5,7.62,1.77968
16,5,7.62,1.77968
17,5,7.62,1.77968
18,5,7.62,1.77968
19,5,7.62,1.77968
20,5,7.62,1.77968
21,5,7.62,1.77968
22,5,7.62,1.77968
23,5,7.57,1.81494
24,5,7.57,1.81494
25,5,7.57,1.81494
26,5,7.57,1.81494
27,5,7.57,1.81494
28,5,7.57,1.81494
29,5,7.57,1.81494
30,5,7.57,1.81494
31,5,7.57,1.81494
32,5,7.57,1.81494
33,5,7.57,1.81494
34,5,7.57,1.81494
35,5,7.57,1.81494
36,5,7.57,1.81494
37,5,7.57,1.81494
38,5,7.57,1.81494
39,5,7.57,1.81494
40,5,7.57,1.81494
41,5,7.44,1.86473
42,5,7.44,1.86473
43,5,7.44,1.86473
44,5,7.44,1.86473
45,5,7.44,1.86473
46,5,7.44,1.86473
47,5,7.44,1.86473
48,5,7.44,1.86473
49,5,7.44,1.86473
0,6,9.25,0
1,6,7.57,1.81494
2,6,7.57,1.81494
3,6,7.57,1.81494
4,6,7.57,1.81494
5,6,7.57,1.81494
6,6,7.57,1.81494
7,6,7.57,1.81494
8,6,7.57,1.81494
9,6,7.57,1.81494
10,6,7.57,1.81494
11,6,7.57,1.81494
12,6,7.57,1.81494
13,6,7.57,1.81494
14,6,7.57,1.81494
15,6,7.57,1.81494
16,6,7.57,1.81494
17,6,7.57,1.81494
18,6,7.57,1.81494
19,6,7.57,1.81494
20,6,7.57,1.81494
21,6,7.57,1.81494
22,6,7.57,1.81494
23,6,7.57,1.81494
24,6,7.57,1.81494
25,6,7.57,1.81494
26,6,7.57,1.81494
27,6,7.57,1.81494
28,6,7.57,1.81494
29,6,7.57,1.81494
30,6,7.56,1.82095
31,6,7.56,1.82095
32,6,7.56,1.82095
33,6,7.56,1.82095
34,6,7.56,1.82095
35,6,7.56,1.82095
36,6,7.56,1.82095
37,6,7.56,1.82095
38,6,7.56,1.82095
39,6,7.56,1.82095
40,6,7.56,1.82095
41,6,7.56,1.82095
42,6,7.56,1.82095
43,6,7.56,1.82095
44,6,7.56,1.82095
45,6,7.56,1.82095
46,6,7.44,1.86473
47,6,7.44,1.86473
48,6,7.44,1.86473
49,6,7.44,1.86473
0,7,4.3,0
1,7,4.3,-0.521078
2,7,4.3,-0.521078
3,7,4.3,-0.521078
4,7,4.3,-0.521078
5,7,4.3,-0.521078
6,7,4.3,-0.521078
7,7,0.68,1.01176
8,7,0.68,1.01176
9,7,0.68,1.01176
10,7,0.68,1.01176
11,7,0.68,1.01176
12,7,0.68,1.01176
13,7,0.68,1.01176
14,7,0.68,1.01176
15,7,0.68,1.01176
16,7,0.68,1.01176
17,7,0.68,1.01176
18,7,0.68,1.01176
19,7,0.68,1.01176
20,7,0.68,1.01176
21,7,0.68,1.01176
22,7,0.68,1.01176
23,7,0.68,1.01176
24,7,7.57,1.81494
25,7,7.57,1.81494
26,7,7.57,1.81494
27,7,7.57,1.81494
28,7,7.57,1.81494
29,7,7.57,1.81494
30,7,7.57,1.81494
31,7,7.57,1.81494
32,7,7.57,1.81494
