ger,pior,Medio,melhor,dev.padr,ilha
0,-1.89558,0.132129,1.30531,0.767098,ilha_0
0,-1.26357,0.246912,1.70053,0.47963,ilha_1
0,-0.352164,1.08346,1.72316,0.414155,ilha_2
0,-0.774149,0.796566,1.83859,0.687573,ilha_3
0,-0.803069,0.572724,1.84668,0.791458,ilha_4
0,-0.557992,0.673508,1.79738,0.317499,ilha_5
1,-1.00955,0.603335,1.30531,0.427056,ilha_0
1,-1.21008,0.407234,1.70053,0.498379,ilha_1
1,0.800286,1.53792,1.84306,0.100351,ilha_2
1,-0.772776,1.24852,1.83859,0.456748,ilha_3
1,-0.176766,1.3295,1.86293,0.494308,ilha_4
1,0.0666972,1.16406,1.79738,0.212387,ilha_5
2,-0.228442,0.83175,1.30531,0.275698,ilha_0
2,0.156048,0.967372,1.70053,0.47157,ilha_1
2,-0.847206,1.57815,1.84306,0.313809,ilha_2
2,0.191,1.50968,1.83859,0.12189,ilha_3
2,0.170399,1.64478,1.86729,0.176807,ilha_4
2,0.944316,1.46083,1.79738,0.122164,ilha_5
3,0.113649,1.13449,1.74018,0.177038,ilha_0
3,-1.51091,1.09813,1.84731,1.15481,ilha_1
3,1.71188,1.76533,1.84306,0.00319793,ilha_2
3,-0.621624,1.58276,1.83859,0.288142,ilha_3
3,1.24826,1.82648,1.86729,0.017662,ilha_4
3,1.21625,1.65523,1.79738,0.0599633,ilha_5
4,0.200762,1.33734,1.82444,0.103131,ilha_0
4,-1.56856,1.3354,1.84731,0.788631,ilha_1
4,-1.6125,1.60808,1.84306,0.549686,ilha_2
4,-1.7104,1.64315,1.83859,0.598001,ilha_3
4,1.39327,1.82673,1.86729,0.0123486,ilha_4
4,1.2349,1.71267,1.79746,0.0400028,ilha_5
5,1.27507,1.42698,1.82444,0.0372392,ilha_0
5,1.44064,1.69324,1.84731,0.0146872,ilha_1
5,1.72316,1.80546,1.84306,0.00272526,ilha_2
5,-1.71116,1.55652,1.83864,0.768989,ilha_3
5,1.82725,1.86227,1.86729,6.92449e-05,ilha_4
5,1.78542,1.79797,1.82097,3.46346e-05,ilha_5
6,1.30531,1.41777,1.82444,0.0343772,ilha_0
6,-1.72664,1.56957,1.84731,0.581177,ilha_1
6,1.72316,1.82018,1.84306,0.00178703,ilha_2
6,1.83859,1.83862,1.83901,8.4397e-09,ilha_3
6,-0.123365,1.76537,1.86729,0.187757,ilha_4
6,1.78542,1.79927,1.82097,5.95743e-05,ilha_5
7,1.30531,1.586,1.82444,0.0467145,ilha_0
7,1.70053,1.81217,1.84813,0.00373008,ilha_1
7,-1.71464,1.48683,1.8431,1.13845,ilha_2
7,-0.250448,1.73423,1.84007,0.207313,ilha_3
7,1.85065,1.86537,1.86742,1.49002e-05,ilha_4
7,1.78542,1.81002,1.84648,0.000219708,ilha_5
8,1.37309,1.7808,1.82444,0.010057,ilha_0
8,-1.72664,1.66119,1.84813,0.604897,ilha_1
8,-0.235411,1.73762,1.85502,0.204971,ilha_2
8,-1.71116,1.66133,1.84007,0.598616,ilha_3
8,-1.41178,1.44522,1.86742,1.07113,ilha_4
8,-1.68111,1.50686,1.84652,0.911089,ilha_5
9,1.74018,1.82022,1.82444,0.00033722,ilha_0
9,1.39537,1.80233,1.84824,0.0184017,ilha_1
9,-1.16687,1.59112,1.85502,0.605542,ilha_2
9,1.72232,1.83325,1.84007,0.000648011,ilha_3
9,1.55321,1.85108,1.86742,0.00467226,ilha_4
9,-1.69529,1.47816,1.84652,1.11415,ilha_5
10,1.82393,1.82441,1.82444,1.2181e-08,ilha_0
10,-1.72824,1.50151,1.84824,1.08067,ilha_1
10,1.84306,1.84862,1.85502,3.39415e-05,ilha_2
10,-1.71116,1.53316,1.84007,0.766269,ilha_3
10,0.841882,1.8158,1.86742,0.0499235,ilha_4
10,1.39304,1.81748,1.84652,0.00959968,ilha_5
11,0.264924,1.74601,1.82444,0.115457,ilha_0
11,1.84731,1.84793,1.84843,1.7037e-07,ilha_1
11,1.84306,1.85224,1.85518,2.18234e-05,ilha_2
11,-1.14586,1.66604,1.84007,0.426891,ilha_3
11,-1.78655,1.58902,1.86742,0.769933,ilha_4
11,-1.18452,1.68789,1.84707,0.434428,ilha_5
12,1.30531,1.79443,1.84227,0.0129991,ilha_0
12,1.84039,1.8489,1.85502,9.54827e-06,ilha_1
12,-1.72424,1.67432,1.85518,0.607915,ilha_2
12,-1.74866,1.379,1.84652,1.27941,ilha_3
12,-0.0291804,1.77037,1.86742,0.170487,ilha_4
12,-1.18431,1.57614,1.86742,0.62175,ilha_5
13,-1.8003,1.61995,1.84227,0.628643,ilha_0
13,1.82748,1.84905,1.85502,3.52356e-05,ilha_1
13,1.84824,1.85459,1.8559,2.71366e-06,ilha_2
13,1.83864,1.84252,1.84851,1.15167e-05,ilha_3
13,-1.40063,1.69949,1.86742,0.506092,ilha_4
13,1.84214,1.85172,1.86742,8.41252e-05,ilha_5
14,-1.80024,1.50227,1.84265,0.986207,ilha_0
14,-1.75485,1.65339,1.85683,0.614168,ilha_1
14,1.85287,1.85499,1.8559,2.74027e-07,ilha_2
14,-1.15252,1.59321,1.85701,0.599373,ilha_3
14,1.55718,1.84721,1.86742,0.00468998,ilha_4
14,-1.72502,1.67645,1.86742,0.609084,ilha_5
15,-1.65419,1.66022,1.84338,0.578247,ilha_0
15,1.44115,1.8334,1.85683,0.0081065,ilha_1
15,-1.74293,1.65792,1.8672,0.611729,ilha_2
15,-1.72733,1.51946,1.85701,0.981375,ilha_3
15,1.86397,1.86724,1.86742,5.63057e-07,ilha_4
15,1.55718,1.85023,1.86742,0.00454494,ilha_5
16,1.82285,1.84062,1.84338,3.18628e-05,ilha_0
