ger,pior,Medio,melhor,dev.padr
0,-1.94976,0.330251,1.8667,0.828624
1,-1.95754,0.471311,1.8667,1.17003
2,-1.92518,0.645826,1.8667,0.870358
3,-1.84042,0.787698,1.86731,0.814015
4,-1.87877,1.03814,1.86731,0.794079
5,-1.79231,1.15446,1.86737,0.955709
6,-1.97764,1.21234,1.86737,1.00271
7,-1.79856,1.39614,1.86737,0.734847
8,-1.80478,1.23848,1.86737,1.33728
9,-1.77166,1.42357,1.86739,0.813386
10,-1.79783,1.30886,1.86739,1.25999
11,-1.92556,1.40176,1.86741,0.970102
12,-1.94113,1.39375,1.86741,1.06863
13,-1.78813,1.50752,1.86741,0.711811
14,-1.53183,1.55327,1.86743,0.625609
15,-1.9543,1.27148,1.86743,1.4232
16,-1.79193,1.31307,1.86743,1.3764
17,-1.78721,1.50612,1.86743,0.710657
18,-1.80476,1.43249,1.86743,1.0029
19,-1.76556,1.31465,1.86743,1.14002
20,-1.78856,1.2806,1.86743,1.25988
21,-1.7858,1.47044,1.86743,0.886793
22,-1.7868,1.37661,1.86743,1.07255
23,-1.78688,1.32672,1.86743,1.25535
24,-1.79059,1.32306,1.86743,1.2723
25,-1.78898,1.56524,1.86743,0.684393
26,-1.93502,1.41497,1.86743,1.13018
27,-1.78695,1.5356,1.86743,0.707576
28,-1.78666,1.13509,1.86743,1.62446
29,-1.93622,1.19246,1.86743,1.37131
30,-1.93735,1.2017,1.86743,1.41424
31,-1.78617,1.2788,1.86743,1.3207
32,-1.78557,1.3534,1.86743,1.1939
33,-1.78966,1.28407,1.86743,1.24125
34,-1.9304,1.28247,1.86743,1.37052
35,-1.78757,1.30366,1.86743,1.23905
36,-1.78621,1.29066,1.86743,1.28235
37,-1.7896,1.32892,1.86743,1.20617
38,-1.78629,1.17047,1.86743,1.405
39,-1.78564,1.34928,1.86743,1.21946
40,-1.97226,1.3301,1.86743,1.31424
41,-1.93696,1.45923,1.86743,0.984137
42,-1.78445,1.52941,1.86743,0.774671
43,-1.78526,1.4096,1.86743,1.05273
44,-1.72871,1.29108,1.86743,1.08653
45,-1.79044,1.27088,1.86743,1.24842
46,-1.79234,1.20374,1.86743,1.3293
47,-1.93741,1.22999,1.86743,1.48863
48,-1.63718,1.47892,1.86743,0.772063
49,-1.78542,1.49569,1.86743,0.778015
50,-1.79231,1.3315,1.86743,1.25016
51,-1.79439,1.23844,1.86743,1.40207
52,-1.93696,1.25722,1.86743,1.37829
53,-1.95623,1.2204,1.86743,1.31699
54,-1.78549,1.4425,1.86743,0.891351
55,-1.78107,1.43813,1.86743,0.968886
56,-1.8034,1.54942,1.86743,0.687923
57,-1.78553,1.49406,1.86743,0.866883
58,-1.78732,1.46822,1.86743,0.915451
59,-1.78739,1.47665,1.86743,0.899014
60,-1.7896,1.4145,1.86743,1.06974
61,-1.78557,1.28384,1.86743,1.28214
62,-1.78905,1.22443,1.86743,1.30283
63,-1.78557,1.28104,1.86743,1.36529
64,-1.78526,1.37967,1.86743,1.08011
65,-1.78553,1.61875,1.86743,0.495262
66,-1.78583,1.22638,1.86743,1.55397
67,-1.80485,1.38901,1.86743,1.0337
68,-1.78553,1.36861,1.86743,1.11239
69,-1.78905,1.39495,1.86743,0.905644
70,-1.78891,1.43785,1.86743,0.970509
71,-1.7847,1.38209,1.86743,1.07367
72,-1.78553,1.3367,1.86743,1.15645
73,-1.78545,1.51493,1.86743,0.705132
74,-1.79987,1.39469,1.86743,1.00313
75,-1.97179,1.47164,1.86743,0.949311
76,-1.7853,1.60064,1.86743,0.52052
77,-1.93701,1.29716,1.86743,1.37771
78,-1.7861,1.28983,1.86743,1.40532
79,-1.93763,1.30187,1.86743,1.29831
80,-1.78946,1.32648,1.86743,1.09644
81,-1.78564,1.4103,1.86743,0.988121
82,-1.67676,1.55345,1.86743,0.689608
83,-1.78778,1.44712,1.86743,0.993206
84,-1.78735,1.42417,1.86743,1.04773
85,-1.97673,1.38161,1.86743,1.07325
86,-1.93724,1.22233,1.86743,1.42066
87,-1.8596,1.26254,1.86743,1.36921
88,-1.93707,1.204,1.86743,1.50959
89,-1.78666,1.40201,1.86743,1.0204
90,-1.77983,1.54612,1.86743,0.699908
91,-1.78761,1.45143,1.86743,0.997861
92,-1.93769,1.30006,1.86743,1.3168
93,-1.78625,1.41768,1.86743,0.944817
94,-1.78583,1.38823,1.86743,1.06688
95,-1.95721,1.13046,1.86743,1.7098
96,-1.79453,1.44671,1.86743,0.991642
97,-1.78549,1.66688,1.86743,0.42816
98,-1.78602,1.46042,1.86743,1.01878
99,-1.78963,1.48854,1.86743,0.930254
